Topic,Count,Name,Representation,Representative_Docs
-1,25122,-1_commit_git_string_haskell,"['commit', 'git', 'string', 'haskell', 'co', 'undergraduate', 'supervisors', 'must', 'loop', 'strings']","['Is the average person capable of adapting to a lower oxygen content in the air than earth, given enough time to slowly acclimate?', 'Is the average person capable of adapting to a lower oxygen content in the air than earth, given enough time to slowly acclimate?', 'Is the average person capable of adapting to a lower oxygen content in the air than earth, given enough time to slowly acclimate?']"
0,1217,0_websites_professors_date_out,"['websites', 'professors', 'date', 'out', 'many', 'so', 'are', 'why', 'of', '']","[""Why are so many professors' websites out of date?"", ""Why are so many professors' websites out of date?"", ""Why are so many professors' websites out of date?""]"
1,1212,1_steep_slope_plant_retain,"['steep', 'slope', 'plant', 'retain', 'what', 'can', 'to', '', '', '']","['What can I plant to retain a steep slope?', 'What can I plant to retain a steep slope?', 'What can I plant to retain a steep slope?']"
2,1207,2_shut_vehicle_traffic_off,"['shut', 'vehicle', 'traffic', 'off', 'will', 'turn', 'my', 'on', 'not', 'and']","['My vehicle shut off in traffic and will not turn on', 'My vehicle shut off in traffic and will not turn on', 'My vehicle shut off in traffic and will not turn on']"
3,1206,3_satellites_temperature_operate_operating,"['satellites', 'temperature', 'operate', 'operating', 'below', 'their', 'do', 'how', '', '']","['How do satellites operate below their operating temperature?', 'How do satellites operate below their operating temperature?', 'How do satellites operate below their operating temperature?']"
4,1205,4_spherical_shapes_universe_common,"['spherical', 'shapes', 'universe', 'common', 'so', 'are', 'why', 'in', 'the', 'mean']","['Why are spherical shapes so common in the universe?', 'Why are spherical shapes so common in the universe?', 'Why are spherical shapes so common in the universe?']"
5,1203,5_passports_travelling_both_same,"['passports', 'travelling', 'both', 'same', 'two', 'valid', 'country', 'are', 'from', 'with']","['Travelling with two passports, both are valid from the same country', 'Travelling with two passports, both are valid from the same country', 'Travelling with two passports, both are valid from the same country']"
6,1195,6_campaign_contract_happened_enforced,"['campaign', 'contract', 'happened', 'enforced', 'promises', 'were', 'ever', 'they', 'has', 'be']","['Can campaign promises be enforced by a contract, or has it ever happened they were?', 'Can campaign promises be enforced by a contract, or has it ever happened they were?', 'Can campaign promises be enforced by a contract, or has it ever happened they were?']"
7,1195,7_american_spacecraft_russia_engines,"['american', 'spacecraft', 'russia', 'engines', 'launch', 'built', 'still', 'true', 'used', 'that']","['Is it true that engines built in Russia are still used to launch American spacecraft?', 'Is it true that engines built in Russia are still used to launch American spacecraft?', 'Is it true that engines built in Russia are still used to launch American spacecraft?']"
8,1188,8_deposit_cash_pay_says,"['deposit', 'cash', 'pay', 'says', 'legal', 'order', 'check', 'that', 'it', 'to']","['Is it legal to deposit a check that says pay to the order of cash', 'Is it legal to deposit a check that says pay to the order of cash', 'Is it legal to deposit a check that says pay to the order of cash']"
9,1179,9_periodic_almost_periods_everywhere,"['periodic', 'almost', 'periods', 'everywhere', 'functions', 'many', 'with', 'actions', 'executing', 'duplicate']","['Almost everywhere-periodic functions with many periods', 'Almost everywhere-periodic functions with many periods', 'Almost everywhere-periodic functions with many periods']"
10,1174,10_typeset_commutative_diagrams_how,"['typeset', 'commutative', 'diagrams', 'how', 'to', '', '', '', '', '']","['How to typeset commutative diagrams', 'How to typeset commutative diagrams', 'How to typeset commutative diagrams']"
11,1171,11_process_memory_range_75_cc_crashes,"['process_memory_range', '75', 'cc', 'crashes', 'range', 'visual', 'studio', 'read', 'out', 'code']","['Visual Studio Code crashes with [...ERROR:process_memory_range.cc(75)] read out of range', 'Visual Studio Code crashes with [...ERROR:process_memory_range.cc(75)] read out of range', 'Visual Studio Code crashes with [...ERROR:process_memory_range.cc(75)] read out of range']"
12,1166,12_parallelogram_justify_formula_area,"['parallelogram', 'justify', 'formula', 'area', 'triangle', 'or', 'for', 'how', 'of', 'to']","['How to justify formula for area of triangle (or parallelogram)', 'How to justify formula for area of triangle (or parallelogram)', 'How to justify formula for area of triangle (or parallelogram)']"
13,1165,13_uk_resident_pakistani_visit,"['uk', 'resident', 'pakistani', 'visit', 'passport', 'card', 'week', 'year', 'french', '10']","['Can I visit the UK for one week with a Pakistani passport and a 10-year French resident card?', 'Can I visit the UK for one week with a Pakistani passport and a 10-year French resident card?', 'Can I visit the UK for one week with a Pakistani passport and a 10-year French resident card?']"
14,1165,14_kerr_extremal_hole_super,"['kerr', 'extremal', 'hole', 'super', 'black', 'become', 'can', '', '', '']","['Can a Kerr black hole become super-extremal?', 'Can a Kerr black hole become super-extremal?', 'Can a Kerr black hole become super-extremal?']"
15,1162,15_mignon_elsschot_cheese_refer,"['mignon', 'elsschot', 'cheese', 'refer', 'expression', 'country', 'does', 'what', 'in', 'the']","['What does the expression ""Mignon country"" refer to in Elsschot\'s ""Cheese""?', 'What does the expression ""Mignon country"" refer to in Elsschot\'s ""Cheese""?', 'What does the expression ""Mignon country"" refer to in Elsschot\'s ""Cheese""?']"
16,1159,16_modulator_rf_cost_extra,"['modulator', 'rf', 'cost', 'extra', 'color', 'much', 'did', 'how', '', '']","['How much extra did a color RF modulator cost?', 'How much extra did a color RF modulator cost?', 'How much extra did a color RF modulator cost?']"
17,1156,17_reviews_committees_chatgpt_potential,"['reviews', 'committees', 'chatgpt', 'potential', 'pc', 'cases', 'anonymous', 'generated', 'handling', 'member']","['Handling cases of ""potential"" ChatGPT-generated reviews in non-anonymous program committees (as a PC member)', 'Handling cases of ""potential"" ChatGPT-generated reviews in non-anonymous program committees (as a PC member)', 'Handling cases of ""potential"" ChatGPT-generated reviews in non-anonymous program committees (as a PC member)']"
18,1152,18_multiplex_dram_pins_didn,"['multiplex', 'dram', 'pins', 'didn', 'cpus', 'address', 'like', 'why', '', '']","[""Why didn't CPUs multiplex address pins like DRAM?"", ""Why didn't CPUs multiplex address pins like DRAM?"", ""Why didn't CPUs multiplex address pins like DRAM?""]"
19,1152,19_f4_alt_close_shortcut,"['f4', 'alt', 'close', 'shortcut', 'become', 'did', 'how', 'the', 'f2', 'mode']","['How did ALT + F4 become the close shortcut?', 'How did ALT + F4 become the close shortcut?', 'How did ALT + F4 become the close shortcut?']"
20,1141,20_die_center_arc_this,"['die', 'center', 'arc', 'this', 'does', 'why', 'in', 'the', 'guicocoa', 'cgpathaddarc']","['Why does this arc die in the center?', 'Why does this arc die in the center?', 'Why does this arc die in the center?']"
